Actor,Path Length,Path
"Rachel McAdams",1,"([('actor', 'Rachel McAdams', 53714), ('movie', 'Doctor Strange in the Multiverse of Madness', 453395), ('actor', 'Bridget Hoffman', 173428), ('movie', 'The Bad Guys 2', 1175942)], 'Rachel McAdams')"
"Maggie Smith",3,"([('actor', 'Maggie Smith', 1288647), ('movie', 'Eternal Torture', 253716), ('actor', 'Jonathan Leigh West', 1289444), ('movie', 'Batman v Superman: Dawn of Justice', 209112), ('actor', 'Ben Affleck', 880), ('movie', 'Gone Girl', 210577), ('actor', 'Carrie Coon', 1308445), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Maggie Smith')"
"Helen Hayes",1,"([('actor', 'Helen Hayes', 47439), ('movie', 'Airport', 10671), ('actor', 'Allison McKay', 93672), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Helen Hayes')"
"Ingrid Bergman",3,"([('actor', 'Ingrid Bergman', 2150101), ('movie', 'Cries and Whispers', 10238), ('actor', 'Liv Ullmann', 11916), ('movie', 'Final Cut: Ladies and Gentlemen', 126314), ('actor', 'Scarlett Johansson', 1245), ('movie', 'Iron Man 2', 10138), ('actor', 'Sam Rockwell', 6807), ('movie', 'The Bad Guys 2', 1175942)], 'Ingrid Bergman')"
"Greta Garbo",2,"([('actor', 'Greta Garbo', 19549), ('movie', 'Final Cut: Ladies and Gentlemen', 126314), ('actor', 'Tom Cruise', 500), ('movie', 'The Last Samurai', 616), ('actor', 'William Atherton', 7676), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Greta Garbo')"
"Audrey Hepburn",3,"([('actor', 'Audrey Hepburn', 3998174), ('movie', 'Lady Terror', 1056072), ('actor', 'Nathan Hill', 222993), ('movie', 'Queen of the Damned', 11979), ('actor', 'Jonathan Davis', 103762), ('movie', 'Seeing Other People', 32298), ('actor', 'Alex Borstein', 24357), ('movie', 'The Bad Guys 2', 1175942)], 'Audrey Hepburn')"
"Elizabeth Taylor",None,""
"Vivien Leigh",2,"([('actor', 'Vivien Leigh', 10538), ('movie', 'Fire Over England', 22969), ('actor', 'Laurence Olivier', 3359), ('movie', 'Sky Captain and the World of Tomorrow', 5137), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Vivien Leigh')"
"Bette Davis",2,"([('actor', 'Bette Davis', 3380), ('movie', "Bunny O'Hare", 88179), ('actor', 'Larry Linville', 55431), ('movie', 'Marcus Welby, M.D.: A Matter of Humanities', 1010891), ('actor', 'Allison McKay', 93672), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Bette Davis')"
"Katharine Hepburn",2,"([('actor', 'Katharine Hepburn', 6598), ('movie', 'The Philadelphia Story', 981), ('actor', 'Mildred Shay', 1234110), ('movie', 'Little Shop of Horrors', 10776), ('actor', 'Bill Murray', 1532), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Katharine Hepburn')"
"Jessica Tandy",1,"([('actor', 'Jessica Tandy', 5698), ('movie', 'Driving Miss Daisy', 403), ('actor', 'Dan Aykroyd', 707), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Jessica Tandy')"
"Angela Lansbury",1,"([('actor', 'Angela Lansbury', 14730), ('movie', 'Glass Onion: A Knives Out Mystery', 661374), ('actor', 'Natasha Lyonne', 10871), ('movie', 'The Bad Guys 2', 1175942)], 'Angela Lansbury')"
"Julie Andrews",1,"([('actor', 'Julie Andrews', 5823), ('movie', 'Shrek 2', 809), ('actor', 'Christopher Knights', 12097), ('movie', 'The Bad Guys 2', 1175942)], 'Julie Andrews')"
"Debbie Reynolds",1,"([('actor', 'Debbie Reynolds', 8857), ('movie', 'Behind the Candelabra', 119675), ('actor', 'Dan Aykroyd', 707), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Debbie Reynolds')"
"Shirley MacLaine",1,"([('actor', 'Shirley MacLaine', 4090), ('movie', 'The Secret Life of Walter Mitty', 116745), ('actor', 'Patton Oswalt', 10872), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Shirley MacLaine')"
